,IGD,RUN,CONFIG,ALGORITHM,PROBLEM
52,0.4415355632850095,23,"r=0.3, c=7 / m=0.1, v=0.5",IVF/SPEA2,ZDT4
53,0.9604227061329296,24,"r=0.3, c=7 / m=0.1, v=0.5",IVF/SPEA2,ZDT4
54,0.5573759967944634,25,"r=0.3, c=7 / m=0.1, v=0.5",IVF/SPEA2,ZDT4
55,0.4474724484409413,26,"r=0.3, c=7 / m=0.1, v=0.5",IVF/SPEA2,ZDT4
56,0.2323787124690802,27,"r=0.3, c=7 / m=0.1, v=0.5",IVF/SPEA2,ZDT4
57,0.6653915584525911,28,"r=0.3, c=7 / m=0.1, v=0.5",IVF/SPEA2,ZDT4
58,0.2092664467883186,29,"r=0.3, c=7 / m=0.1, v=0.5",IVF/SPEA2,ZDT4
59,0.6206171295826843,30,"r=0.3, c=7 / m=0.1, v=0.5",IVF/SPEA2,ZDT4
60,0.5513158145532101,1,"r=0.3, c=7 / m=0.1, v=1",IVF/SPEA2,ZDT4
61,0.2893893880389079,2,"r=0.3, c=7 / m=0.1, v=1",IVF/SPEA2,ZDT4
62,0.6918604439958151,3,"r=0.3, c=7 / m=0.1, v=1",IVF/SPEA2,ZDT4
63,0.5574308693605452,4,"r=0.3, c=7 / m=0.1, v=1",IVF/SPEA2,ZDT4
64,1.0884689068901985,5,"r=0.3, c=7 / m=0.1, v=1",IVF/SPEA2,ZDT4
65,0.488328228071208,6,"r=0.3, c=7 / m=0.1, v=1",IVF/SPEA2,ZDT4
66,0.499217211259479,7,"r=0.3, c=7 / m=0.1, v=1",IVF/SPEA2,ZDT4
67,0.6634289780302042,8,"r=0.3, c=7 / m=0.1, v=1",IVF/SPEA2,ZDT4
68,1.3030747479109772,9,"r=0.3, c=7 / m=0.1, v=1",IVF/SPEA2,ZDT4
69,0.426939182078302,10,"r=0.3, c=7 / m=0.1, v=1",IVF/SPEA2,ZDT4
70,0.6035731741784832,11,"r=0.3, c=7 / m=0.1, v=1",IVF/SPEA2,ZDT4
71,0.2527818106982699,12,"r=0.3, c=7 / m=0.1, v=1",IVF/SPEA2,ZDT4
72,0.8573635395356467,13,"r=0.3, c=7 / m=0.1, v=1",IVF/SPEA2,ZDT4
73,0.9476257138540304,14,"r=0.3, c=7 / m=0.1, v=1",IVF/SPEA2,ZDT4
74,0.3476206402950418,15,"r=0.3, c=7 / m=0.1, v=1",IVF/SPEA2,ZDT4
75,0.3272620954527365,16,"r=0.3, c=7 / m=0.1, v=1",IVF/SPEA2,ZDT4
76,0.6165480921777542,17,"r=0.3, c=7 / m=0.1, v=1",IVF/SPEA2,ZDT4
77,0.1098804649343826,18,"r=0.3, c=7 / m=0.1, v=1",IVF/SPEA2,ZDT4
